,Accuracy,loss,val_Accuracy,val_loss
140,0.9969651103019714,0.008534003049135208,0.9896748065948486,0.0643153041601181
141,0.9967870712280273,0.008664526976644993,0.9896352291107178,0.06481391936540604
142,0.996914267539978,0.008695549331605434,0.9897143840789795,0.06713385879993439
143,0.9968125224113464,0.008445000275969505,0.9896748065948486,0.06836963444948196
144,0.9969651103019714,0.008162816986441612,0.9898330569267273,0.07005585730075836
145,0.9969566464424133,0.008130460977554321,0.9899517297744751,0.0686878189444542
146,0.9968718886375427,0.008867351338267326,0.9898726344108582,0.06608924269676208
147,0.9970074892044067,0.008390013128519058,0.9899121522903442,0.06775505840778351
148,0.9968295097351074,0.008637684397399426,0.9901099801063538,0.06703121215105057
149,0.9969820976257324,0.008539412170648575,0.9899517297744751,0.06828863173723221
150,0.9969990253448486,0.008351230062544346,0.9900704026222229,0.06970448046922684
151,0.9970329403877258,0.007881673984229565,0.9899121522903442,0.07205010205507278
152,0.9971176981925964,0.008148117922246456,0.9897934794425964,0.07224909216165543
153,0.9969820976257324,0.008441537618637085,0.9897143840789795,0.06829309463500977
154,0.997219443321228,0.008074775338172913,0.9898726344108582,0.06858502328395844
155,0.9969651103019714,0.008620214648544788,0.9895957112312317,0.06771916896104813
156,0.9969735741615295,0.008220018818974495,0.9899121522903442,0.06722753494977951
157,0.9971939921379089,0.007576505187898874,0.9897539615631104,0.07242973893880844
158,0.9972109794616699,0.008340909145772457,0.9897934794425964,0.07039733976125717
159,0.9971939921379089,0.007825360633432865,0.9899121522903442,0.07045654952526093
160,0.9970160126686096,0.008141802623867989,0.98951655626297,0.0686776414513588
161,0.9973211884498596,0.007439388893544674,0.9900308847427368,0.06797704845666885
162,0.9973126649856567,0.007475898135453463,0.9899517297744751,0.07005815207958221
163,0.9970414042472839,0.008053614757955074,0.989991307258606,0.06789039075374603
164,0.9971855282783508,0.007494106888771057,0.9899517297744751,0.07111173868179321
165,0.9971686005592346,0.007877265103161335,0.9900704026222229,0.06838414818048477
166,0.9974653124809265,0.007205159403383732,0.9900308847427368,0.07043255865573883
167,0.9971431493759155,0.007661106996238232,0.9899517297744751,0.06737760454416275
168,0.9971431493759155,0.007696193177253008,0.9898726344108582,0.0671921893954277
169,0.997389018535614,0.007329286076128483,0.9898330569267273,0.06901659071445465
170,0.9971939921379089,0.007688235957175493,0.989991307258606,0.07035481184720993
171,0.997372031211853,0.007640568073838949,0.989991307258606,0.0676787793636322
172,0.9972702860832214,0.007465539034456015,0.9897539615631104,0.06846684217453003
173,0.9971431493759155,0.007914628833532333,0.9900704026222229,0.06319654732942581
174,0.9972363710403442,0.00785091333091259,0.9900704026222229,0.06656493246555328
175,0.9972279071807861,0.007295302581042051,0.9898330569267273,0.06919854134321213
176,0.9973974823951721,0.0075063384138047695,0.9898330569267273,0.0683191567659378
177,0.9972702860832214,0.007810509297996759,0.9896748065948486,0.0665523037314415
178,0.9973042011260986,0.007509591057896614,0.9897143840789795,0.07068652659654617
179,0.9973635673522949,0.007533674594014883,0.9897934794425964,0.06956414878368378
180,0.9975161552429199,0.007126008626073599,0.9897934794425964,0.06938006728887558
181,0.9976602792739868,0.006779203657060862,0.9894770383834839,0.07287392020225525
182,0.997066855430603,0.007788828108459711,0.9897143840789795,0.06989721208810806
183,0.9974228739738464,0.007269938476383686,0.9900308847427368,0.0681769996881485
184,0.9974313974380493,0.00725352019071579,0.9900704026222229,0.06918829679489136
185,0.9972025156021118,0.007807210087776184,0.9898726344108582,0.06698480993509293
186,0.9973296523094177,0.007657323498278856,0.9898330569267273,0.0694890171289444
187,0.9974059462547302,0.007500851526856422,0.9898330569267273,0.07173812389373779
188,0.9971600770950317,0.008040819317102432,0.9900704026222229,0.06695930659770966
189,0.9976093769073486,0.0067014191299676895,0.9903473258018494,0.07084756344556808
190,0.9974228739738464,0.0071385703049600124,0.9899517297744751,0.07270113378763199
191,0.9974822402000427,0.0066624535247683525,0.9901099801063538,0.07512854039669037
192,0.9971600770950317,0.007484175730496645,0.989991307258606,0.07405964285135269
193,0.9978213310241699,0.0062487502582371235,0.989991307258606,0.0699174776673317
194,0.9976687431335449,0.0064224801026284695,0.989991307258606,0.07878483831882477
195,0.9974822402000427,0.007213010918349028,0.9901495575904846,0.07275865972042084
196,0.9976263642311096,0.006711786612868309,0.9900308847427368,0.07154369354248047
197,0.9974567890167236,0.007341579534113407,0.9899517297744751,0.07121425867080688
198,0.9974059462547302,0.007095157168805599,0.9897934794425964,0.07286307960748672
199,0.9975669980049133,0.0067824991419911385,0.9897934794425964,0.07409635931253433
